,location,Cases,deaths,new_vaccinations,hosp_patients,median_age,extreme_poverty,male_smokers,female_smokers,total_smokers,diabetes_prevalence,population,population_density,life_expectancy
0,Mali,34.58985200845666,0.7876857749469215,0.0,0.0,16.39999999999975,0.0,23.0,1.5999999999999814,12.29999999999999,2.420000000000032,21904983.0,15.19599999999992,59.30999999999936
1,Liberia,8.52310924369748,0.3144385026737968,5044.5,0.0,19.200000000000344,38.599999999999305,18.10000000000017,1.5,9.800000000000084,2.4200000000000323,5193416.0,49.127000000000365,64.099999999999
2,Somalia,28.52041884816754,1.4629430719656284,5327.428571428572,0.0,16.79999999999971,0.0,0.0,0.0,0.0,6.0500000000001055,17065581.0,23.5,57.400000000000944
3,Nicaragua,15.930672268907562,0.2611464968152866,0.0,0.0,27.299999999999542,3.199999999999962,0.0,0.0,0.0,11.4699999999999,6850540.0,51.66700000000079,74.480000000001
4,Madagascar,70.22421052631579,1.58006718924972,13544.0,0.0,19.600000000000048,77.59999999999975,0.0,0.0,0.0,3.940000000000047,28915653.0,43.9510000000004,67.04000000000075
5,Syria,60.43624868282402,3.357749469214437,51211.5,0.0,21.700000000000387,0.0,0.0,0.0,0.0,0.0,21324367.0,0.0,72.69999999999871
6,Central African Republic,15.96234309623431,0.1273957158962796,12887.0,0.0,18.299999999999677,0.0,0.0,0.0,0.0,6.100000000000064,5457154.0,7.47900000000007,53.279999999999305
7,Guinea,39.71503131524008,0.492972972972973,21731.602739726026,0.0,19.0,35.29999999999959,0.0,0.0,0.0,2.4200000000000323,13531906.0,51.754999999999335,61.59999999999902
8,Eritrea,10.723157894736842,0.15281899109792285,0.0,0.0,19.299999999999656,0.0,11.3999999999998,0.19999999999999762,5.799999999999899,6.0500000000001055,3620312.0,44.30399999999928,66.31999999999974
9,Haiti,35.62736842105263,0.9206008583690987,2438.4117647058824,0.0,24.299999999999578,23.5,23.099999999999824,2.9000000000000514,12.999999999999938,6.649999999999913,11447569.0,398.447999999994,64.0
10,Angola,108.44479495268139,2.0403825717322,0.0,0.0,16.79999999999971,0.0,0.0,0.0,0.0,3.940000000000047,34503774.0,23.889999999999677,61.15000000000097
11,Cote d'Ivoire,91.50573514077163,0.8779193205944799,13325.78947368421,0.0,18.700000000000337,28.200000000000465,0.0,0.0,0.0,2.4200000000000323,27478249.0,76.39899999999969,57.77999999999927
12,Low income,2303.2047082906856,48.83725690890481,373734.8727569331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701926970.0,0.0,0.0
13,Uganda,178.79852320675104,4.412621359223301,11556.983606557376,0.0,16.39999999999975,41.599999999999255,16.700000000000287,3.4000000000000568,10.050000000000171,2.5,45853778.0,213.7589999999981,63.37000000000101
14,Ethiopia,515.5584551148226,8.098395721925133,94846.15226337449,0.0,19.799999999999642,26.700000000000454,8.5,0.39999999999999514,4.4499999999999975,7.470000000000058,120283026.0,104.95699999999871,66.59999999999899
15,Congo,25.980125523012553,0.4450373532550694,1486.0,0.0,19.0,37.0,52.300000000000665,1.7000000000000286,27.000000000000348,7.199999999999882,5835806.0,15.405000000000244,64.56999999999974
16,Guinea-Bissau,9.35306553911205,0.1925601750547046,1658.0,0.0,19.399999999999928,67.09999999999899,0.0,0.0,0.0,2.420000000000032,2060721.0,66.19099999999926,58.31999999999974
17,Malawi,93.89445628997868,2.8756698821007505,6316.547738693467,0.0,18.10000000000019,71.40000000000086,24.700000000000426,4.400000000000059,14.550000000000242,3.940000000000047,19889742.0,197.5190000000002,64.26000000000056
18,Cameroon,128.3790238836968,2.0762711864406778,5145.0,0.0,18.79999999999966,23.799999999999578,0.0,0.0,0.0,7.199999999999881,27198628.0,50.885000000000204,59.29000000000074
19,Togo,40.718134715025904,0.3072033898305085,0.0,0.0,19.399999999999963,49.199999999999456,14.200000000000218,0.8999999999999851,7.550000000000101,6.149999999999932,8644829.0,143.36599999999854,61.040000000000745
20,Papua New Guinea,47.798947368421054,0.8146341463414634,0.0,0.0,22.59999999999985,0.0,48.800000000000495,23.5,36.15000000000025,17.649999999999782,9949437.0,18.21999999999979,64.5
21,Egypt,522.9665314401623,25.75077881619938,215749.9,0.0,25.299999999999553,1.299999999999976,50.09999999999911,0.19999999999999732,25.149999999999554,17.309999999999892,109262178.0,97.99899999999987,71.9899999999998
22,Gambia,13.229800629590766,0.3924050632911392,429.0,0.0,17.5,10.10000000000018,31.20000000000049,0.7000000000000045,15.950000000000246,1.91000000000003,2639916.0,207.56599999999898,62.05000000000101
23,Afghanistan,207.9229979466119,8.248945147679326,4714.4,0.0,18.600000000000087,0.0,0.0,0.0,0.0,9.590000000000105,40099462.0,54.421999999999116,64.83000000000128
24,Ghana,178.79769392033543,1.5368421052631578,45237.5,0.0,21.099999999999934,12.0,7.699999999999878,0.3000000000000054,3.9999999999999414,4.969999999999959,32833031.0,126.71899999999813,64.06999999999974
