Date,Open,High,Low,Close,Adj_Close,Volume
2021-10-28,51762,51767.42188,51200.39844,51248.83984,51248.83984,151378500
2021-10-29,51193.83984,51503.57813,50997.10938,51309.83984,51309.83984,145758900
2021-11-01,51353.60938,51880.01953,51353.60938,51653.26172,51653.26172,91186600
2021-11-03,51648.83984,51965.51953,51503.12891,51876.80859,51876.80859,203221300
2021-11-04,51838.62891,51967.41016,51338.69141,51873.46094,51873.46094,182211500
2021-11-05,51907.26953,52220.39844,51779.23828,51977.96094,51977.96094,197701000
2021-11-08,52000.21094,52577.32813,51979.51172,52251.48828,52251.48828,201344200
2021-11-09,52250.48828,52340,51778.03125,52114.12109,52114.12109,183571400
2021-11-10,52153.94141,52171.25,51590.51953,51704.39844,51704.39844,127670700
2021-11-11,51767.80078,51815.51172,51514.87891,51707.01172,51707.01172,134926600
2021-11-12,51739.87891,51937.37109,51350.35938,51432.53906,51432.53906,184078600
2021-11-16,51422.12891,51585.64063,51000.91016,51161.5,51161.5,211551200
2021-11-17,51197.98047,51210.83984,50678.33984,51045.10156,51045.10156,134527900
2021-11-18,51134.91016,51243.96875,50552.44922,50831.94922,50831.94922,162724400
2021-11-19,50724.28906,50891.39063,50535.10938,50811.30078,50811.30078,143936400
2021-11-22,50864.01172,50945.89063,50407.28125,50497.07813,50497.07813,136095800
2021-11-23,50447.82813,51182.78125,50437.76953,51116.32031,51116.32031,150734000
2021-11-24,51157.05859,51236.57813,50639.42969,50848.03125,50848.03125,181050100
2021-11-25,50838.21094,50887.87891,50580.48828,50625,50625,52596300
2021-11-26,50480.5,50480.5,49064.67188,49492.51953,49492.51953,170088800
2021-11-29,49520.30078,49875.69141,49268.76953,49796.30078,49796.30078,242967200
2021-11-30,49623.39844,49873.85938,49116.94141,49698.71875,49698.71875,840279400
2021-12-01,49879.76172,50752.12109,49869.01172,50007.16016,50007.16016,223344700
2021-12-02,50032.21875,50956.14844,49900.80078,50927.37891,50927.37891,159026600
2021-12-03,50870.66016,51413.05859,50528.89844,50597.28906,50597.28906,181641200
2021-12-06,50590.85938,50842.35156,50445.25,50605.55859,50605.55859,125368500
2021-12-07,50690.14844,51009.75,50501.19141,50918.28125,50918.28125,181685300
2021-12-08,50929.26172,51121,50722.39063,51056.26953,51056.26953,143869000
2021-12-09,51060.82031,51305.44141,50785.19922,51238.01953,51238.01953,147693500
2021-12-10,51194.23047,51240.19141,50935.64844,51213.48047,51213.48047,121603300
2021-12-13,51214.60938,51218.96875,50327.07813,50419.17188,50419.17188,246013200
2021-12-14,50401.21875,51481.69922,50291.01953,51241.46875,51241.46875,238023800
2021-12-15,51141.39063,51291.03125,50728.98828,51163.66016,51163.66016,182077000
2021-12-16,51264.55859,51899.87109,51147.28125,51384.05859,51384.05859,142780800
2021-12-17,51296.05859,52477.82813,51227.19922,52379.37109,52379.37109,510546300
2021-12-20,52333.26172,52333.26172,51319.55078,51623.85938,51623.85938,121895900
2021-12-21,51916.01953,52188.41016,51593.92188,52085.28125,52085.28125,144351900
2021-12-22,52146.01172,52450.85156,51956.98828,52403.05078,52403.05078,113832100
2021-12-23,52413.55859,52872.73828,52355.35156,52650.91016,52650.91016,96501500
2021-12-24,52615.28125,52901.71875,52548.58984,52853.37891,52853.37891,5240400
2021-12-27,52853.66016,53309.51172,52558.85156,53259.55859,53259.55859,60916800
2021-12-28,53201.69141,53630.53125,53106.39844,53238.48047,53238.48047,84095500
2021-12-29,53223.76172,53500.32031,52668.33984,52748.92969,52748.92969,57322300
2021-12-30,52809.78125,53253.62109,52752.73047,53175.25,53175.25,83757300
2021-12-31,53099.76953,53387.21875,53011.07031,53272.44141,53272.44141,48616100
2022-01-03,53278.10938,53603.82813,52901.71094,52941.01172,52941.01172,56603700
2022-01-04,53073.07813,53334,52888.73047,53016.78125,53016.78125,105053500
2022-01-05,52927.53125,53253.07031,52909.78906,53024.14844,53024.14844,110514300
2022-01-06,52964.67188,53145.80859,52768.80859,53055.30859,53055.30859,145921900
2022-01-07,53020.12891,53244.91016,52896.25,53202.10938,53202.10938,104193500
2022-01-10,53202.83984,53301.94141,52809.10938,52835.76172,52835.76172,116966800
2022-01-11,52841.05078,53121.46875,52740.35156,53061.92188,53061.92188,167682100
2022-01-12,53068.12109,53991.32813,53068.12109,53951.14063,53951.14063,161608700
2022-01-13,53981.55078,54102.48828,53793.75,53930.44922,53930.44922,172794800
2022-01-14,53824.76953,53861.71094,53476.91016,53744.92188,53744.92188,135837800
2022-01-17,53742.37109,54219.14063,53742.37109,53973.26953,53973.26953,34731100
2022-01-18,53985.46094,53987.62891,53187.46094,53232.19922,53232.19922,141857000
2022-01-19,53239.98828,53402.44141,52679.17969,52823.23047,52823.23047,159266300
2022-01-20,52826.23047,53017.39063,52424.69922,52508.35156,52508.35156,144882400
