Date,Open,High,Low,Adj_Close
2022-10-26,"2,165.40","2,182.60","2,154.90","2,180.60"
2022-10-25,"2,151.30","2,171.30","2,127.80","2,169.40"
2022-10-24,"2,115.30","2,156.20","2,099.40","2,140.50"
2022-10-21,"2,094.10","2,106.80","2,069.10","2,099.40"
2022-10-20,"2,087.40","2,118.00","2,081.80","2,111.70"
2022-10-19,"2,104.60","2,107.80","2,082.60","2,091.10"
2022-10-18,"2,095.50","2,125.30","2,092.60","2,093.80"
2022-10-17,"2,041.20","2,082.30","2,029.50","2,075.00"
2022-10-14,"2,055.40","2,075.00","2,033.90","2,037.80"
2022-10-13,"1,984.00","2,026.80","1,964.50","2,021.70"
2022-10-12,"2,019.70","2,020.50","1,987.00","1,993.30"
2022-10-11,"2,015.30","2,024.60","1,995.20","2,017.80"
2022-10-10,"2,013.80","2,041.70","2,013.80","2,035.80"
2022-10-07,"2,052.20","2,068.60","2,030.50","2,033.90"
2022-10-06,"2,088.20","2,092.30","2,047.80","2,057.80"
2022-10-05,"2,099.70","2,104.60","2,061.10","2,078.40"
2022-10-04,"2,066.70","2,109.20","2,063.50","2,109.00"
2022-10-03,"1,992.80","2,040.50","1,980.30","2,040.50"
2022-09-30,"1,993.00","2,013.80","1,986.50","2,007.00"
2022-09-29,"2,027.00","2,028.00","1,964.00","1,980.30"
2022-09-28,"2,021.70","2,035.10","1,993.30","2,030.20"
2022-09-27,"2,081.30","2,092.10","2,041.70","2,042.20"
2022-09-26,"2,045.20","2,082.30","2,045.20","2,063.70"
2022-09-23,"2,114.10","2,118.00","2,047.30","2,051.00"
2022-09-22,"2,113.40","2,160.10","2,109.90","2,120.90"
2022-09-21,"2,108.70","2,144.90","2,104.30","2,144.20"
2022-09-20,"2,169.80","2,178.70","2,115.60","2,120.20"
2022-09-19,"2,142.20","2,168.20","2,119.00","2,156.20"
2022-09-16,"2,148.30","2,161.60","2,128.80","2,150.80"
2022-09-15,"2,180.90","2,194.80","2,166.20","2,175.00"
2022-09-14,"2,161.30","2,188.90","2,158.80","2,181.10"
2022-09-13,"2,208.50","2,225.10","2,168.70","2,168.70"
2022-09-12,"2,159.10","2,204.80","2,159.10","2,197.50"
2022-09-09,"2,129.00","2,168.90","2,129.00","2,160.30"
2022-09-08,"2,116.60","2,125.60","2,073.50","2,120.90"
2022-09-07,"2,086.90","2,108.20","2,081.30","2,102.80"
2022-09-06,"2,102.80","2,115.60","2,084.80","2,100.90"
2022-09-05,"2,098.20","2,108.20","2,079.90","2,101.90"
2022-09-02,"2,095.50","2,147.30","2,090.20","2,144.90"
2022-09-01,"2,086.70","2,098.00","2,075.50","2,082.30"
2022-08-31,"2,146.20","2,151.30","2,108.20","2,108.20"
2022-08-30,"2,150.30","2,174.80","2,128.30","2,135.60"
2022-08-29,"2,119.50","2,142.50","2,106.30","2,137.10"
2022-08-26,"2,202.90","2,207.50","2,140.50","2,143.40"
2022-08-25,"2,208.20","2,211.40","2,182.60","2,196.30"
2022-08-24,"2,181.10","2,197.20","2,164.50","2,194.10"
2022-08-23,"2,158.40","2,198.70","2,158.40","2,188.70"
2022-08-22,"2,188.90","2,195.30","2,155.90","2,167.90"
2022-08-19,"2,237.30","2,243.20","2,202.90","2,205.10"
2022-08-18,"2,231.00","2,250.10","2,228.60","2,248.30"
2022-08-17,"2,258.40","2,265.20","2,222.70","2,225.10"
2022-08-16,"2,256.90","2,265.20","2,245.70","2,249.10"
2022-08-12,"2,236.90","2,251.10","2,236.60","2,246.70"
2022-08-11,"2,230.50","2,237.30","2,225.60","2,235.40"
2022-08-10,"2,191.40","2,223.70","2,186.50","2,220.00"
2022-08-09,"2,222.40","2,227.60","2,197.20","2,199.20"
2022-08-08,"2,224.20","2,232.90","2,206.30","2,222.70"
2022-08-05,"2,217.10","2,222.70","2,200.20","2,209.00"
2022-08-04,"2,216.60","2,237.80","2,209.00","2,215.30"
2022-08-03,"2,187.20","2,210.00","2,180.10","2,208.20"
2022-08-02,"2,187.50","2,190.90","2,165.90","2,184.80"
2022-08-01,"2,194.60","2,230.80","2,191.90","2,192.80"
2022-07-29,"2,170.30","2,199.70","2,162.10","2,189.90"
2022-07-28,"2,125.10","2,143.40","2,114.80","2,143.40"
2022-07-27,"2,091.60","2,101.90","2,077.40","2,099.70"
2022-07-26,"2,088.70","2,089.20","2,066.90","2,070.10"
2022-07-25,"2,066.40","2,094.10","2,063.70","2,092.30"
2022-07-22,"2,064.20","2,090.90","2,061.50","2,074.50"
2022-07-21,"2,044.70","2,084.30","2,025.30","2,072.10"
2022-07-20,"2,128.80","2,135.60","2,073.00","2,086.50"
2022-07-19,"2,055.70","2,123.70","2,052.20","2,120.00"
2022-07-18,"2,049.60","2,081.80","2,045.20","2,068.40"
2022-07-15,"2,000.70","2,042.70","1,992.60","2,038.30"
2022-07-14,"2,060.10","2,061.10","1,987.00","2,001.60"
2022-07-13,"2,085.50","2,085.50","2,047.60","2,073.00"
2022-07-12,"2,083.60","2,094.30","2,071.60","2,091.60"
2022-07-11,"2,088.70","2,119.70","2,085.50","2,099.90"
2022-07-08,"2,097.00","2,126.30","2,090.20","2,118.50"
2022-07-07,"2,065.70","2,100.90","2,057.40","2,097.50"
2022-07-06,"2,044.20","2,049.60","2,018.50","2,037.30"
2022-07-05,"2,087.70","2,090.20","2,013.60","2,015.50"
2022-07-04,"2,091.60","2,098.90","2,075.00","2,078.20"
2022-07-01,"2,048.60","2,098.00","2,046.10","2,076.90"
2022-06-30,"2,090.90","2,098.90","2,057.40","2,074.50"
2022-06-29,"2,131.20","2,139.60","2,116.60","2,125.10"
2022-06-28,"2,147.30","2,169.80","2,143.40","2,151.30"
2022-06-27,"2,164.70","2,175.20","2,125.30","2,135.90"
2022-06-24,"2,110.20","2,159.10","2,101.40","2,152.00"
2022-06-23,"2,112.20","2,138.10","2,086.70","2,103.80"
2022-06-22,"2,110.20","2,134.70","2,091.60","2,119.50"
2022-06-21,"2,149.30","2,169.80","2,142.90","2,149.80"
2022-06-20,"2,127.80","2,143.90","2,112.70","2,141.00"
2022-06-17,"2,113.60","2,157.20","2,108.50","2,113.10"
2022-06-16,"2,172.30","2,173.50","2,107.20","2,108.20"
2022-06-15,"2,178.90","2,193.60","2,141.80","2,180.80"
2022-06-14,"2,145.20","2,150.80","2,096.80","2,119.70"
2022-06-13,"2,143.40","2,158.40","2,114.60","2,125.80"
2022-06-10,"2,310.50","2,310.70","2,204.30","2,206.60"
2022-06-09,"2,356.70","2,366.00","2,311.70","2,323.70"
2022-06-08,"2,388.00","2,389.40","2,356.70","2,370.70"
2022-06-07,"2,388.50","2,391.90","2,366.50","2,382.10"
2022-06-06,"2,385.10","2,410.80","2,382.10","2,401.20"
2022-06-03,"2,400.90","2,402.40","2,357.70","2,364.00"
2022-06-02,"2,384.80","2,390.90","2,373.80","2,388.70"
2022-06-01,"2,407.80","2,414.20","2,368.70","2,373.60"
2022-05-31,"2,417.30","2,423.70","2,390.40","2,396.80"
2022-05-30,"2,423.90","2,427.60","2,412.40","2,424.70"
2022-05-27,"2,410.00","2,412.40","2,389.90","2,408.60"
2022-05-26,"2,373.80","2,402.70","2,367.00","2,398.30"
2022-05-25,"2,353.80","2,375.30","2,331.80","2,370.40"
2022-05-24,"2,336.20","2,354.20","2,325.70","2,334.70"
2022-05-23,"2,350.30","2,358.20","2,323.90","2,358.20"
2022-05-20,"2,337.10","2,368.90","2,319.10","2,326.40"
2022-05-19,"2,303.90","2,323.40","2,287.20","2,322.40"
2022-05-18,"2,344.90","2,352.60","2,319.10","2,323.20"
2022-05-17,"2,335.40","2,361.10","2,330.30","2,344.00"
2022-05-16,"2,311.90","2,329.30","2,301.40","2,319.10"
2022-05-13,"2,290.90","2,320.20","2,282.30","2,319.10"
2022-05-12,"2,245.90","2,285.80","2,237.80","2,274.10"
2022-05-11,"2,241.80","2,290.20","2,231.50","2,287.20"
2022-05-10,"2,221.20","2,254.50","2,219.20","2,224.20"
2022-05-09,"2,262.80","2,270.40","2,197.00","2,201.40"
2022-05-06,"2,281.40","2,296.30","2,251.10","2,264.20"
2022-05-05,"2,355.50","2,361.60","2,284.60","2,291.70"
2022-05-04,"2,336.70","2,344.00","2,301.40","2,304.10"
2022-05-03,"2,311.90","2,340.10","2,308.30","2,338.30"
2022-05-02,"2,318.10","2,325.90","2,250.30","2,299.90"
2022-04-29,"2,341.80","2,354.80","2,326.40","2,338.10"
2022-04-28,"2,316.80","2,338.10","2,297.50","2,319.30"
2022-04-27,"2,280.90","2,302.70","2,245.70","2,297.00"
2022-04-26,"2,325.70","2,326.60","2,281.80","2,283.10"
2022-04-25,"2,308.30","2,324.40","2,286.80","2,305.30"
2022-04-22,"2,358.20","2,371.80","2,335.70","2,339.60"
2022-04-21,"2,396.60","2,410.00","2,391.90","2,393.10"
2022-04-20,"2,376.20","2,404.20","2,373.30","2,400.00"
2022-04-19,"2,365.80","2,378.70","2,346.40","2,372.30"
2022-04-14,"2,370.70","2,382.60","2,354.80","2,374.30"
2022-04-13,"2,350.80","2,361.10","2,339.60","2,360.60"
2022-04-12,"2,336.20","2,369.40","2,322.40","2,355.20"
2022-04-11,"2,367.70","2,386.10","2,348.90","2,364.50"
2022-04-08,"2,359.60","2,373.30","2,350.30","2,369.40"
2022-04-07,"2,348.40","2,378.90","2,313.20","2,318.80"
2022-04-06,"2,377.50","2,386.50","2,307.30","2,331.80"
2022-04-05,"2,401.90","2,411.70","2,370.90","2,382.80"
2022-04-04,"2,398.30","2,407.10","2,373.60","2,400.50"
2022-04-01,"2,388.50","2,411.90","2,379.70","2,399.20"
2022-03-31,"2,419.30","2,421.20","2,385.60","2,386.50"
2022-03-30,"2,409.00","2,422.20","2,394.30","2,416.80"
2022-03-29,"2,390.90","2,437.90","2,379.20","2,417.30"
2022-03-28,"2,348.90","2,397.30","2,348.90","2,359.60"
2022-03-25,"2,332.00","2,356.20","2,322.90","2,345.40"
2022-03-24,"2,327.60","2,344.90","2,317.10","2,330.30"
2022-03-23,"2,351.30","2,351.60","2,312.70","2,320.50"
2022-03-22,"2,331.50","2,349.60","2,326.80","2,343.50"
2022-03-21,"2,309.80","2,340.60","2,309.80","2,321.70"
2022-03-18,"2,313.40","2,317.10","2,275.00","2,313.20"
2022-03-17,"2,332.80","2,337.10","2,277.20","2,305.80"
2022-03-16,"2,290.40","2,337.40","2,289.40","2,320.20"
2022-03-15,"2,213.80","2,252.80","2,187.70","2,244.20"
2022-03-14,"2,226.60","2,252.60","2,216.80","2,233.90"
2022-03-11,"2,253.00","2,309.00","2,227.30","2,252.80"
2022-03-10,"2,335.70","2,336.40","2,232.20","2,237.10"
2022-03-09,"2,249.80","2,332.00","2,245.90","2,332.00"
2022-03-08,"2,149.10","2,246.70","2,149.10","2,184.10"
2022-03-07,"2,143.70","2,225.40","2,061.10","2,167.20"
2022-03-04,"2,317.30","2,319.80","2,193.80","2,198.20"
2022-03-03,"2,401.40","2,419.30","2,337.90","2,344.20"
2022-03-02,"2,373.30","2,416.60","2,344.90","2,397.30"
2022-03-01,"2,484.10","2,506.30","2,381.90","2,383.60"
2022-02-28,"2,457.20","2,491.90","2,439.80","2,484.30"
2022-02-25,"2,458.20","2,523.00","2,424.20","2,519.10"
2022-02-24,"2,420.00","2,474.80","2,395.60","2,434.00"
2022-02-23,"2,554.30","2,579.70","2,534.20","2,538.40"
2022-02-22,"2,481.90","2,563.60","2,481.90","2,546.90"
2022-02-21,"2,607.10","2,611.00","2,526.40","2,547.20"
2022-02-18,"2,615.90","2,622.80","2,582.40","2,592.20"
2022-02-17,"2,635.70","2,641.80","2,596.10","2,607.60"
2022-02-16,"2,644.80","2,655.10","2,617.90","2,637.40"
2022-02-15,"2,576.80","2,637.70","2,574.60","2,636.40"
2022-02-14,"2,572.40","2,591.20","2,530.30","2,582.90"
2022-02-11,"2,622.30","2,644.30","2,613.50","2,636.90"
2022-02-10,"2,664.30","2,673.20","2,636.00","2,658.90"
2022-02-09,"2,608.30","2,650.70","2,606.60","2,650.20"
2022-02-08,"2,572.40","2,606.10","2,560.70","2,580.90"
2022-02-07,"2,612.00","2,614.20","2,554.80","2,572.90"
2022-02-04,"2,661.40","2,664.30","2,591.00","2,600.50"
2022-02-03,"2,671.20","2,676.60","2,643.30","2,647.00"
2022-02-02,"2,670.20","2,692.70","2,669.50","2,677.60"
2022-02-01,"2,642.10","2,660.40","2,638.90","2,659.70"
2022-01-31,"2,641.10","2,642.80","2,603.90","2,621.10"
2022-01-28,"2,623.50","2,624.70","2,569.40","2,596.80"
2022-01-27,"2,569.70","2,642.80","2,566.00","2,626.20"
2022-01-26,"2,562.60","2,604.90","2,562.60","2,598.60"
2022-01-25,"2,560.40","2,567.50","2,519.10","2,544.00"
2022-01-24,"2,627.20","2,638.20","2,520.80","2,538.40"
2022-01-21,"2,647.00","2,659.90","2,610.10","2,635.00"
2022-01-20,"2,669.00","2,686.30","2,659.90","2,684.40"
2022-01-19,"2,661.90","2,683.70","2,650.20","2,665.30"
2022-01-18,"2,683.90","2,683.90","2,658.50","2,675.60"
2022-01-17,"2,691.70","2,697.60","2,684.90","2,694.90"
2022-01-14,"2,688.60","2,701.00","2,669.70","2,682.90"
2022-01-13,"2,694.20","2,716.70","2,692.90","2,711.10"
2022-01-12,"2,694.70","2,700.10","2,678.50","2,697.60"
2022-01-11,"2,678.50","2,691.70","2,671.70","2,680.50"
2022-01-10,"2,703.90","2,706.40","2,655.10","2,664.60"
2022-01-07,"2,702.50","2,711.80","2,672.20","2,688.10"
2022-01-06,"2,706.20","2,721.60","2,686.80","2,693.20"
2022-01-05,"2,730.80","2,748.40","2,722.10","2,742.60"
2022-01-04,"2,715.90","2,735.20","2,703.00","2,721.30"
2022-01-03,"2,674.60","2,706.40","2,673.40","2,701.50"
2021-12-30,"2,664.30","2,670.90","2,659.40","2,665.10"
2021-12-29,"2,673.90","2,676.10","2,654.30","2,663.30"
2021-12-28,"2,657.50","2,678.50","2,657.50","2,673.40"
2021-12-27,"2,621.80","2,654.10","2,621.80","2,651.60"
2021-12-23,"2,617.40","2,631.30","2,610.10","2,629.30"
2021-12-22,"2,595.10","2,611.50","2,583.40","2,611.50"
2021-12-21,"2,576.80","2,593.90","2,560.20","2,593.90"
2021-12-20,"2,538.20","2,555.30","2,509.80","2,549.90"
2021-12-17,"2,595.40","2,598.80","2,565.60","2,591.20"
2021-12-16,"2,627.70","2,631.10","2,600.80","2,608.80"
2021-12-15,"2,600.00","2,607.80","2,591.40","2,596.60"
2021-12-14,"2,598.60","2,604.40","2,582.20","2,586.10"
2021-12-13,"2,608.80","2,623.80","2,581.20","2,584.40"
2021-12-10,"2,610.60","2,631.60","2,608.10","2,612.50"
2021-12-09,"2,621.30","2,629.60","2,609.60","2,622.00"
2021-12-08,"2,646.50","2,655.50","2,615.90","2,615.90"
