Date,Open,High,Low,Adj_Close,Vol.
2022-10-26,"1,926.21","1,974.03","1,926.21","1,957.92",43.84B
2022-10-25,"1,922.50","1,941.16","1,896.13","1,923.51",39.19B
2022-10-24,"1,966.94","1,989.78","1,921.71","1,932.34",40.72B
2022-10-21,"1,970.71","1,979.81","1,958.22","1,966.93",34.38B
2022-10-20,"1,969.31","1,999.72","1,950.03","1,971.67",37.53B
2022-10-19,"1,999.22","2,005.02","1,981.84","1,981.84",36.56B
2022-10-18,"2,006.87","2,019.41","1,994.17","2,005.08",38.81B
2022-10-17,"1,974.37","1,999.17","1,971.47","1,997.81",38.25B
2022-10-14,"1,949.08","1,992.95","1,947.62","1,984.33",39.03B
2022-10-13,"1,917.85","1,952.17","1,912.90","1,934.28",35.25B
2022-10-12,"1,880.42","1,929.53","1,852.42","1,929.53",34.71B
2022-10-11,"1,874.67","1,887.98","1,860.18","1,882.00",27.73B
2022-10-10,"1,914.47","1,917.41","1,865.58","1,870.50",29.82B
2022-09-30,"1,937.36","1,942.84","1,911.98","1,912.00",28.32B
2022-09-29,"1,958.40","1,960.79","1,927.29","1,937.20",31.45B
2022-09-28,"1,983.90","1,983.90","1,938.26","1,938.26",32.40B
2022-09-27,"1,955.08","1,989.40","1,949.60","1,989.40",32.09B
