Date,Open,High,Low,Adj_Close,Vol.
2022-10-26,"6,798.60","6,843.20","6,798.60","6,810.90",820.62M
2022-10-25,"6,779.40","6,831.30","6,779.40","6,798.60",753.44M
2022-10-24,"6,676.80","6,823.30","6,676.80","6,779.40",682.73M
2022-10-21,"6,730.70","6,730.70","6,667.60","6,676.80",741.69M
2022-10-20,"6,800.10","6,800.10","6,702.10","6,730.70",896.88M
2022-10-19,"6,779.20","6,822.20","6,777.50","6,800.10",737.37M
2022-10-18,"6,664.40","6,790.70","6,664.40","6,779.20",834.30M
2022-10-17,"6,758.90","6,758.90","6,645.20","6,664.40",712.25M
2022-10-14,"6,642.60","6,772.60","6,642.60","6,758.80",663.86M
2022-10-13,"6,647.50","6,683.70","6,638.90","6,642.60",695.14M
2022-10-12,"6,645.00","6,672.00","6,633.00","6,647.50",721.32M
2022-10-11,"6,667.80","6,712.50","6,645.00","6,645.00",746.55M
2022-10-10,"6,762.80","6,762.80","6,646.80","6,667.80",588.25M
2022-10-07,"6,817.50","6,817.50","6,762.70","6,762.80",688.95M
2022-10-06,"6,815.60","6,828.30","6,787.40","6,817.50",810.28M
2022-10-05,"6,699.30","6,819.70","6,699.30","6,815.70",1.06B
2022-10-04,"6,456.90","6,699.30","6,456.90","6,699.30",986.46M
2022-10-03,"6,474.20","6,503.50","6,411.90","6,456.90",647.00M
2022-09-30,"6,555.00","6,563.20","6,460.60","6,474.20",1.01B
2022-09-29,"6,462.00","6,594.70","6,462.00","6,555.00",846.90M
2022-09-28,"6,496.20","6,516.50","6,433.10","6,462.00",967.67M
2022-09-27,"6,469.40","6,509.50","6,469.40","6,496.20",1.01B
2022-09-26,"6,574.70","6,574.70","6,435.60","6,469.40",1.09B
2022-09-23,"6,700.20","6,709.00","6,544.90","6,574.70",902.79M
2022-09-21,"6,806.40","6,806.40","6,695.00","6,700.20",832.36M
2022-09-20,"6,719.90","6,808.30","6,719.90","6,806.40",667.56M
2022-09-19,"6,739.10","6,753.90","6,714.70","6,719.90",767.54M
2022-09-16,"6,842.90","6,842.90","6,736.30","6,739.10",1.74B
2022-09-15,"6,828.60","6,878.10","6,828.60","6,842.90",942.02M
2022-09-14,"7,008.20","7,008.20","6,808.60","6,830.80",606.49M
2022-09-13,"6,964.50","7,015.20","6,964.50","7,013.70",611.00M
2022-09-12,"6,894.20","6,974.90","6,894.20","6,963.70",463.19M
2022-09-09,"6,848.70","6,898.50","6,848.70","6,896.10",586.70M
2022-09-08,"6,729.30","6,841.10","6,729.30","6,836.40",608.58M
2022-09-07,"6,826.50","6,826.50","6,719.60","6,728.80",635.12M
2022-09-06,"6,852.20","6,888.50","6,826.10","6,826.30",517.12M
2022-09-05,"6,828.70","6,858.00","6,822.80","6,842.40",456.51M
2022-09-02,"6,845.60","6,854.90","6,820.50","6,826.90",498.37M
2022-09-01,"6,986.80","6,986.80","6,836.50","6,861.70",600.68M
2022-08-31,"6,998.30","6,998.30","6,937.50","6,986.80",948.36M
2022-08-30,"6,965.50","7,020.00","6,965.50","6,998.30",720.80M
2022-08-29,"7,104.10","7,104.10","6,943.20","6,965.50",701.99M
2022-08-26,"7,048.10","7,130.00","7,048.10","7,104.10",654.48M
2022-08-25,"6,998.10","7,057.70","6,992.00","7,048.10",755.11M
2022-08-24,"6,961.80","7,013.70","6,961.80","6,998.10",754.47M
