Date,Open,High,Low,Adj_Close,Vol.
2022-10-26,"143,962.91","145,802.77","143,962.91","145,028.47",
2022-10-25,"139,733.39","144,060.78","139,710.55","143,959.36",
2022-10-24,"138,944.80","140,421.42","136,188.58","139,733.39",
2022-10-21,"136,138.78","139,218.97","136,138.78","138,944.80",
2022-10-20,"136,484.20","139,712.72","135,631.72","136,138.78",
2022-10-19,"137,542.20","138,156.34","136,155.95","136,484.20",
2022-10-18,"138,953.48","139,750.53","136,685.13","137,542.20",
2022-10-17,"137,290.73","140,431.64","137,290.73","138,953.48",
2022-10-14,"140,763.77","140,763.77","136,909.70","137,290.73",
2022-10-13,"136,396.44","140,970.06","135,791.30","140,763.77",
2022-10-12,"136,982.38","137,331.94","135,657.66","136,396.44",
2022-10-11,"144,645.33","144,645.33","136,712.88","136,982.38",
2022-10-06,"146,722.88","147,256.70","144,518.89","144,645.33",
2022-10-05,"144,926.66","148,056.33","143,549.97","146,722.88",
2022-10-04,"145,068.69","147,619.30","144,399.06","144,926.66",
2022-10-03,"139,137.20","145,271.28","139,137.20","145,062.98",
2022-09-30,"138,041.98","140,154.36","137,832.23","139,115.09",
2022-09-29,"138,023.36","138,628.89","134,864.61","138,004.48",
2022-09-28,"135,472.73","138,402.02","135,472.73","138,023.36",
2022-09-27,"138,148.27","140,167.27","134,814.89","135,472.73",
