Date,Open,High,Low,Adj_Close,Volume
27-Oct-22,"60,566.29","60,739.61","60,004.44","60,469.90",113.35M
26-Oct-22,"59,268.00","60,566.29","59,253.84","60,566.29",140.16M
25-Oct-22,"58,461.97","59,440.25","58,461.97","59,268.00",122.55M
24-Oct-22,"59,091.06","59,377.20","58,200.54","58,461.97",100.08M
21-Oct-22,"59,347.28","59,593.79","58,225.52","59,091.06",87.10M
20-Oct-22,"59,209.55","59,419.12","58,400.61","59,347.28",225.88M
19-Oct-22,"59,829.23","59,829.23","58,788.07","59,209.55",137.38M
18-Oct-22,"59,638.26","60,371.99","59,638.26","59,829.23",106.19M
17-Oct-22,"57,844.49","59,723.58","57,712.05","59,638.26",112.18M
14-Oct-22,"57,960.88","59,311.44","57,630.81","57,844.49",95.54M
13-Oct-22,"58,177.44","58,408.97","57,252.98","57,960.88",111.78M
12-Oct-22,"58,208.74","58,680.60","57,953.17","58,177.44",108.11M
11-Oct-22,"58,336.04","58,790.82","57,736.16","58,208.74",110.47M
10-Oct-22,"59,279.98","59,279.98","58,140.00","58,385.40",78.69M
07-Oct-22,"59,416.01","59,520.44","58,802.87","59,279.98",89.91M
06-Oct-22,"59,202.29","60,108.41","59,202.29","59,416.01",147.46M
05-Oct-22,"59,839.46","60,027.55","58,966.99","59,202.29",95.77M
04-Oct-22,"57,849.66","59,839.46","57,849.66","59,839.46",164.86M
03-Oct-22,"57,389.70","57,948.19","56,911.49","57,849.66",87.05M
30-Sep-22,"56,920.94","57,632.96","56,899.69","57,389.70",142.06M
29-Sep-22,"57,413.11","57,561.08","56,199.61","56,920.94",149.32M
28-Sep-22,"57,621.38","57,623.10","55,851.00","57,413.11",157.22M
27-Sep-22,"57,289.97","57,825.65","57,037.40","57,621.38",151.68M
26-Sep-22,"57,109.52","57,473.09","56,375.98","57,289.97",130.81M
23-Sep-22,"58,852.41","58,898.86","56,959.51","57,109.52",125.82M
22-Sep-22,"59,817.68","59,819.43","58,741.09","58,852.41",122.10M
21-Sep-22,"60,119.49","60,149.71","59,481.58","59,817.68",98.69M
20-Sep-22,"59,967.30","60,918.78","59,944.83","60,119.49",104.88M
19-Sep-22,"60,013.72","60,029.50","59,018.45","59,967.30",88.65M
16-Sep-22,"60,991.46","60,991.46","59,761.68","60,013.72",265.93M
15-Sep-22,"61,385.53","61,911.27","60,955.42","60,991.46",288.52M
14-Sep-22,"61,706.56","61,734.54","60,850.25","61,385.53",90.18M
13-Sep-22,"63,111.95","63,230.51","61,521.35","61,706.56",113.42M
12-Sep-22,"62,126.76","63,426.78","62,126.76","63,111.95",115.71M
09-Sep-22,"60,637.95","62,621.15","60,632.01","62,126.76",142.77M
08-Sep-22,"60,174.38","60,933.03","59,998.04","60,637.95",136.44M
07-Sep-22,"60,943.44","60,943.44","59,825.78","60,174.38",131.29M
06-Sep-22,"60,843.90","61,348.02","60,552.63","60,943.44",118.71M
05-Sep-22,"60,854.02","61,146.18","60,285.40","60,843.90",104.85M
02-Sep-22,"59,516.37","60,891.50","59,516.37","60,854.02",121.33M
01-Sep-22,"60,735.70","60,735.70","59,317.32","59,516.37",278.48M
31-Aug-22,"61,321.55","62,067.59","60,735.70","60,735.70",189.78M
30-Aug-22,"62,546.78","62,886.89","61,108.98","61,321.55",122.44M
29-Aug-22,"63,507.94","63,507.94","62,006.89","62,546.78",91.34M
26-Aug-22,"63,685.65","64,388.42","63,366.93","63,507.94",110.49M
25-Aug-22,"63,079.74","63,874.17","63,069.60","63,685.65",109.65M
24-Aug-22,"63,032.89","63,403.92","62,784.39","63,079.74",93.27M
23-Aug-22,"62,482.18","63,290.22","62,382.66","63,032.89",88.26M
22-Aug-22,"62,974.06","62,981.14","62,008.67","62,482.18",100.28M
19-Aug-22,"64,183.99","64,281.20","62,840.68","62,974.06",110.82M
