Date,Open,High,Low,Adj_Close,Vol.
10/27/2022,"11,781.16","11,839.81","11,704.87","11,709.50",187.31M
10/26/2022,"11,983.52","12,004.85","11,732.10","11,798.77",160.38M
10/25/2022,"12,080.05","12,099.60","11,909.36","11,973.86",164.79M
10/24/2022,"11,979.28","12,075.27","11,927.81","12,075.27",147.92M
10/23/2022,"12,035.59","12,076.04","11,989.53","12,006.59",129.98M
10/20/2022,"11,801.39","11,963.68","11,798.35","11,963.68",140.54M
10/19/2022,"11,814.28","11,851.16","11,769.38","11,795.10",130.25M
10/18/2022,"11,624.66","11,809.95","11,623.61","11,809.95",148.25M
10/17/2022,"11,421.96","11,591.61","11,416.30","11,566.38",111.56M
10/16/2022,"11,440.18","11,467.87","11,331.23","11,405.88",98.77M
10/13/2022,"11,548.12","11,564.52","11,421.78","11,421.78",112.89M
10/12/2022,"11,533.00","11,590.21","11,502.62","11,551.34",143.75M
10/11/2022,"11,542.79","11,560.08","11,456.51","11,514.26",124.15M
10/10/2022,"11,554.00","11,628.74","11,471.89","11,530.37",139.85M
10/09/2022,"11,758.44","11,769.26","11,555.15","11,566.45",115.45M
10/06/2022,"11,802.63","11,824.22","11,747.23","11,757.79",135.22M
10/05/2022,"11,862.97","11,880.52","11,709.64","11,770.32",186.50M
10/04/2022,"11,711.15","11,785.91","11,679.16","11,780.41",195.96M
10/03/2022,"11,544.69","11,647.41","11,533.94","11,607.96",184.54M
10/02/2022,"11,420.66","11,530.18","11,325.68","11,487.07",148.68M
09/29/2022,"11,253.33","11,411.35","11,252.80","11,405.32",172.24M
09/28/2022,"11,121.36","11,241.11","11,032.52","11,170.08",165.84M
09/27/2022,"10,981.28","11,085.96","10,932.34","11,017.38",161.14M
09/26/2022,"11,113.68","11,193.42","10,909.18","10,909.18",172.34M
09/25/2022,"11,201.19","11,218.09","11,121.94","11,161.38",128.31M
09/21/2022,"11,498.37","11,543.42","11,402.57","11,461.09",118.14M
09/20/2022,"11,523.93","11,615.45","11,503.60","11,503.60",126.95M
09/19/2022,"11,545.32","11,602.22","11,404.06","11,446.33",125.00M
09/18/2022,"11,807.59","11,814.84","11,554.56","11,572.18",137.87M
09/15/2022,"11,920.15","12,016.12","11,829.54","11,829.54",162.48M
09/14/2022,"11,871.41","11,987.71","11,846.15","11,893.27",121.83M
09/13/2022,"12,035.45","12,089.66","11,985.36","12,084.45",137.01M
09/12/2022,"11,956.63","12,022.12","11,930.63","12,022.12",112.07M
09/11/2022,"11,951.03","12,014.60","11,935.42","11,940.36",121.24M
09/08/2022,"11,886.51","11,927.63","11,748.50","11,834.26",126.52M
09/07/2022,"11,983.86","12,034.21","11,862.13","11,863.81",131.75M
09/06/2022,"12,115.74","12,169.16","11,994.72","11,994.72",135.14M
09/05/2022,"12,185.20","12,227.59","12,099.84","12,099.84",115.34M
09/04/2022,"12,107.74","12,225.87","12,073.12","12,194.29",112.38M
09/01/2022,"12,253.13","12,283.70","12,116.14","12,142.65",162.61M
08/31/2022,"12,431.98","12,453.18","12,273.49","12,283.33",192.38M
08/30/2022,"12,561.10","12,594.61","12,455.65","12,455.65",144.90M
08/29/2022,"12,534.53","12,597.63","12,516.97","12,530.66",161.93M
08/28/2022,"12,475.16","12,574.22","12,459.79","12,526.11",137.74M
08/25/2022,"12,480.55","12,591.74","12,473.61","12,591.74",135.27M
08/24/2022,"12,420.43","12,450.54","12,347.32","12,443.77",153.84M
08/23/2022,"12,541.38","12,616.13","12,420.77","12,420.77",156.64M
08/22/2022,"12,537.27","12,606.40","12,503.03","12,560.48",138.14M
08/21/2022,"12,626.98","12,644.37","12,549.02","12,554.50",129.65M
08/18/2022,"12,659.95","12,714.56","12,621.73","12,621.73",186.36M
08/17/2022,"12,554.49","12,652.44","12,550.12","12,646.74",182.26M
08/16/2022,"12,542.15","12,574.52","12,506.80","12,545.14",214.89M
08/15/2022,"12,512.98","12,543.77","12,454.21","12,543.77",192.54M
08/14/2022,"12,548.38","12,568.17","12,497.17","12,514.37",223.68M
08/11/2022,"12,471.84","12,538.32","12,469.15","12,530.76",213.74M
08/10/2022,"12,346.11","12,431.45","12,314.86","12,431.45",178.84M
08/09/2022,"12,314.47","12,344.08","12,277.38","12,329.99",167.98M
